EarthquakeId,EarthquakeTime,EarthquakeLatitude,EarthquakeLongitude,EarthquakeDepth,EarthquakeMagnitude,EarthquakeMagnitudeType,BackAzimuth,EpicentralDistance,HypocentralDistance,RuptureDistance,RuptureDistanceVar,JoynerBooreDistance,JoynerBooreDistanceVar,GC2_ry,GC2_rx,GC2_ry0,GC2_U,GC2_T,Network,DataProvider,StationCode,StationDescription,StationLatitude,StationLongitude,StationElevation,SamplingRate,SourceFile,StationID,H1Lowpass,H1Highpass,H2Lowpass,H2Highpass,ZLowpass,ZHighpass,PGA,PGV,"PSA(T=0.3000, D=0.050)","PSA(T=0.6000, D=0.050)","PSA(T=1.0000, D=0.050)","PSA(T=3.0000, D=0.050)"
ci40964128,2024-10-25T08:05:08.290000Z,36.60167,-117.09117,3.98,4.7,mw,300.96,333.52,333.19,332.50,0.47,332.48,0.48,nan,nan,nan,nan,nan,AE,IRIS-DMC,W13A,"Hualapai Mountain Park, Kingman, AZ, USA",35.09738,-113.89432,2113.00,100,AE.W13A..HHE__20241025T080438Z__20241025T081200Z.mseed,AE.W13A..HH,19.12237,0.03930,19.12237,0.03930,19.12237,0.03813,8.75800340E-03,7.25324510E-03,1.92287130E-02,1.67221290E-02,5.17494160E-03,1.34535060E-03
ci40964128,2024-10-25T08:05:08.290000Z,36.60167,-117.09117,3.98,4.7,mw,354.63,338.39,339.19,337.37,0.47,337.35,0.48,nan,nan,nan,nan,nan,AZ,IRIS-DMC,CRY,"Cary Ranch, Anza, CA, USA",33.56540,-116.73730,1128.00,100,AZ.CRY..HHE__20241025T080438Z__20241025T081200Z.mseed,AZ.CRY..HH,19.12237,0.04049,19.12237,0.04049,20.30631,0.03485,1.03349860E-02,1.29071620E-02,2.18852790E-02,2.80441940E-02,1.63266050E-02,1.97399530E-03
ci40964128,2024-10-25T08:05:08.290000Z,36.60167,-117.09117,3.98,4.7,mw,353.57,336.11,336.90,335.09,0.47,335.07,0.48,nan,nan,nan,nan,nan,AZ,IRIS-DMC,GARR,"Garrison Ranch, CA, USA",33.59180,-116.67080,1442.00,250,AZ.GARR..HNZ__20241025T080438Z__20241025T081200Z.mseed,AZ.GARR..HN,7.49425,0.40776,7.49425,0.40776,9.39863,0.18164,2.97034220E-02,3.57894710E-02,6.21132510E-02,1.47524550E-01,6.50348670E-02,4.01585540E-03
ci40964128,2024-10-25T08:05:08.290000Z,36.60167,-117.09117,3.98,4.7,mw,353.49,336.97,337.76,335.94,0.47,335.92,0.48,nan,nan,nan,nan,nan,AZ,IRIS-DMC,HSSP,"Hill Street, Anza, CA, USA",33.58470,-116.66410,1388.00,250,AZ.HSSP..HNE__20241025T080438Z__20241025T081200Z.mseed,AZ.HSSP..HN,5.25049,0.52819,5.25049,0.52819,8.25795,0.29507,2.31707910E-02,2.36328020E-02,4.57161510E-02,8.76137070E-02,3.17137300E-02,2.79913560E-03
ci40964128,2024-10-25T08:05:08.290000Z,36.60167,-117.09117,3.98,4.7,mw,353.95,322.21,322.97,321.19,0.47,321.17,0.48,nan,nan,nan,nan,nan,AZ,IRIS-DMC,KNW,"Keenwild Fire Station, Mountain Center, CA, USA",33.71410,-116.71190,1507.00,100,AZ.KNW..HHE__20241025T080438Z__20241025T081200Z.mseed,AZ.KNW..HH,23.59686,0.06548,23.59686,0.06548,22.89863,0.03332,8.99519290E-03,9.08970430E-03,2.60112900E-02,2.84641130E-02,1.56925090E-02,2.73748830E-03
ci40964128,2024-10-25T08:05:08.290000Z,36.60167,-117.09117,3.98,4.7,mw,350.33,336.68,337.44,335.65,0.47,335.63,0.48,nan,nan,nan,nan,nan,AZ,IRIS-DMC,PFO,"Pinyon Flats Observatory, CA, USA",33.61170,-116.45940,1259.00,100,AZ.PFO..HHE__20241025T080438Z__20241025T081200Z.mseed,AZ.PFO..HH,18.55654,0.04849,18.55654,0.04849,20.92549,0.03591,8.65807780E-03,6.96948840E-03,2.94352750E-02,9.68210970E-03,6.64646520E-03,2.45577960E-03
ci40964128,2024-10-25T08:05:08.290000Z,36.60167,-117.09117,3.98,4.7,mw,356.22,330.43,331.22,329.41,0.47,329.38,0.48,nan,nan,nan,nan,nan,AZ,IRIS-DMC,RDM,"Red Mountain, Riverside Co, CA, USA",33.63000,-116.84780,1365.00,100,AZ.RDM..HHE__20241025T080438Z__20241025T081200Z.mseed,AZ.RDM..HH,13.33540,0.04706,13.33540,0.04706,14.59285,0.03485,1.41883710E-02,1.11984600E-02,4.33288280E-02,3.88696130E-02,1.14900160E-02,1.76986490E-03
ci40964128,2024-10-25T08:05:08.290000Z,36.60167,-117.09117,3.98,4.7,mw,352.79,341.15,341.94,340.12,0.47,340.10,0.48,nan,nan,nan,nan,nan,AZ,IRIS-DMC,SND,"Jim Saunders Place, Anza, CA, USA",33.55190,-116.61290,1358.00,100,AZ.SND..HHN__20241025T080438Z__20241025T081200Z.mseed,AZ.SND..HH,12.94081,0.05306,12.94081,0.05306,13.74203,0.03485,1.68245010E-02,1.11303720E-02,3.66740410E-02,3.21232110E-02,1.67098340E-02,4.94423630E-03
ci40964128,2024-10-25T08:05:08.290000Z,36.60167,-117.09117,3.98,4.7,mw,98.33,305.61,304.96,304.59,0.47,304.57,0.48,nan,nan,nan,nan,nan,BK,NCEDC,ALVW,Alview elementary school,37.04906,-120.47143,41.80,100,BK.ALVW.00.HHE__20241025T080438Z__20241025T081200Z.mseed,BK.ALVW.00.HH,12.55790,0.03332,12.55790,0.03332,14.59285,0.07384,3.90057240E-03,6.40201630E-03,1.36723360E-02,8.56772950E-03,6.02766930E-03,1.57286390E-03
ci40964128,2024-10-25T08:05:08.290000Z,36.60167,-117.09117,3.98,4.7,mw,74.57,282.32,281.78,281.30,0.47,281.27,0.48,nan,nan,nan,nan,nan,BK,NCEDC,AVSP,Avenal State Prison,35.96302,-120.13313,301.30,100,BK.AVSP.00.HHE__20241025T080438Z__20241025T081200Z.mseed,BK.AVSP.00.HH,9.87552,0.16615,9.87552,0.16615,10.48695,0.18736,3.20460150E-03,4.51738880E-03,8.65448050E-03,1.11504610E-02,6.15806100E-03,1.83280400E-03
